year,"inflation (all, demeaned)",rho,nu,u
1978.75,4.59923880205771,1.41917068796748,3.70822790114347,-0.528159787053236
1979,7.32822329666148,2.25506711578207,4.0947981473049,0.978358033574517
1979.25,9.13606747383634,2.66774042634132,3.70649282650726,2.76183422098777
1979.5,8.02790852122584,2.0592711036607,4.24588685789348,1.72275055967165
1979.75,7.41150923482364,2.57681124798953,5.35162602747398,-0.516928040639872
1980,11.8567648818335,1.28625133300142,5.45762223479221,5.11289131403986
1980.25,7.36021758677663,0.364152259550285,5.44297447163408,1.55309085559227
1980.5,5.85739836608158,0.13762398530913,5.69032854136273,0.0294458394097242
1980.75,5.84809093097977,0.88728224253038,5.4598995016397,-0.499090813190308
1981,7.54232167577412,-0.659659219398741,3.88134308021924,4.32063781495363
1981.25,2.72669719306737,-1.06004524657412,4.2879800813944,-0.501237641752908
1981.5,1.69103613052328,-1.3185469763473,3.76383703590018,-0.754253929029599
1981.75,1.11886749476019,-1.88808722201643,3.18436261189075,-0.177407895114131
1982,0.0470841945704725,-2.46051111047575,2.88880544597696,-0.38121014093074
1982.25,-1.37193553680535,-1.44440816765473,3.4500639229241,-3.37759129207472
1982.5,1.87150352187414,-2.44818853065827,2.65584315060715,1.66384890192526
1982.75,-1.73182621131293,-3.08759712984279,2.35740788966389,-1.00163697113403
1983,-2.19245971163918,-1.53785270642463,1.7101018223395,-2.36470882755405
1983.25,1.72675089850991,-2.0671899576574,2.25370907970579,1.54023177646151
1983.5,0.532418525387168,-2.08482361149482,1.92357114535262,0.693670991529367
1983.75,-1.58037518089233,-1.18153646698638,1.72288619865779,-2.12172491256374
1984,0.974845207458231,-1.98603372776908,1.83305998828916,1.12781894693815
1984.25,-1.25799725378742,-2.04513249048254,1.58995621989536,-0.802820983200245
1984.5,-1.35068802818597,-1.98736837428546,1.17668494882499,-0.540004602725502
1984.75,-1.00324986296362,-2.29046067630271,2.09688205524172,-0.80967124190263
1985,0.321554981808904,-1.99890167665226,1.56301468475208,0.757441973709082
1985.25,-0.267701510336608,-2.30567285314571,1.35204883852472,0.685922504284379
1985.5,-1.91541933530431,-1.6418075285218,1.22719244455789,-1.50080425134039
1985.75,0.219400322655611,-2.65050962404446,1.76471537941965,1.10519456728042
1986,-3.53455055497381,-4.56663589034178,1.17867067801542,-0.146585342647449
1986.25,-7.96140695158659,-2.74172994558987,1.37620528083803,-6.59588228683475
1986.5,-0.37385964431535,-2.68377363119825,1.54579366009703,0.764120326785869
1986.75,-0.839976972137467,-0.642844128053413,1.2902665675862,-1.48739941167025
1987,4.67069039929495,-0.958648744696778,1.12109604627921,4.50824309771252
1987.25,1.72163873779269,-0.642704116292852,0.8317247807514,1.53261807333414
1987.5,1.23619671855286,-1.13449889051978,1.29457275216543,1.07612285690721
1987.75,-0.0346947698644447,-1.67222704650877,1.58754484696442,0.049987429679905
1988,-1.62723590509555,-1.43552846174986,2.19706058698947,-2.38876803033516
1988.25,1.14046469555475,-1.06318395718876,2.32466403443487,-0.121015381691362
1988.5,2.17391002961535,-1.52502844136953,2.1999658997308,1.49897257125408
1988.75,0.716866439942584,-0.931233534986944,1.89750932325481,-0.24940934832528
1989,2.01717234180958,0.565142275930809,1.24835945727799,0.203670608600779
1989.25,4.67208909218174,-1.45555224625796,0.840890135054621,5.28675120338508
1989.5,-2.13547353312765,-1.17029900225347,1.07783393154298,-2.04300846241716
1989.75,-0.558557717738349,0.0721565894592497,1.80041103524216,-2.43112534243976
1990,5.05633285167148,-1.85142018039439,1.94175463812183,4.96599839394404
1990.25,-0.708725045889917,0.0148940507037085,1.48556742406243,-2.20918652065606
1990.5,3.3890776051714,1.15976618968661,0.544378165682016,1.68493324980278
1990.75,4.96373743078676,-2.0596799127528,1.07777841230606,5.9456389312335
1991,-2.46541299909424,-1.79575068027993,1.03886344463565,-1.70852576344996
1991.25,-1.43330307205654,-1.86951002300392,0.820574196200072,-0.384367245252696
1991.5,-1.49201883710829,-1.66520864464997,0.910897795179766,-0.73770798763809
1991.75,-0.571851889102088,-1.9607618246559,0.853075170814359,0.535834764739454
1992,-1.7569018539145,-1.56745124698746,0.468330469386571,-0.657781076313615
1992.25,-0.528619538688123,-1.21008708901602,0.336205340255351,0.345262210072545
1992.5,-0.183474597239554,-1.31028816353314,0.365923839567436,0.760889726726154
1992.75,-1.24622357608869,-1.5499712062269,0.0593473257681668,0.244400304370048
1993,-1.5009738924674,-1.68425070884504,0.483196714557951,-0.299919898180311
1993.25,-1.87578305957173,-1.94233374957227,0.0487392071742572,0.0178114828262902
1993.5,-2.67494680038229,-1.2293970471115,0.192874962862839,-1.63842471613363
1993.75,-0.0855190644940143,-1.75888066201174,-0.190380356693599,1.86374195421133
1994,-2.64510309972488,-1.66896586249247,0.201943287730589,-1.17808052496301
1994.25,-0.827102778092663,-0.62026690402527,-0.156406137838201,-0.0504297362291924
1994.5,1.44127066213368,-1.22843635092875,-0.302632133298376,2.97233914636081
1994.75,-1.7115506582622,-1.151395015242,-0.0482216688744465,-0.511933974145754
1995,-1.74889154663593,-0.827735902142393,-0.164895943835375,-0.756259700658162
1995.25,-1.40142828171406,-1.22871912117587,-0.37502242610406,0.202313265565866
1995.5,-2.11633107669132,-1.20379426761924,-0.283731526476044,-0.62880528259604
1995.75,-2.12550852859382,-0.20952930303827,-0.383662269350775,-1.53231695620477
1996,0.432193858595565,0.0559611102278433,-0.603281277472718,0.979514025840439
1996.25,-0.462133144440748,-0.77516755698345,-0.597178354419303,0.910212766962004
1996.5,-2.97793871990938,0.151445932639889,-0.671475075930189,-2.45790957661908
1996.75,-0.443963703710848,-0.319321004509096,-1.11294260647973,0.988299907277977
1997,-1.75700440953843,-1.61034680456776,-0.870484273215193,0.72382666824452
1997.25,-4.38675415864428,-0.517227010888246,-1.33620694606575,-2.53332020169029
1997.5,-3.35176226470702,-0.455385411978119,-1.43908044709733,-1.45729640563157
1997.75,-2.75829278680722,-1.62176445909924,-0.973905898140093,-0.162622429567887
1998,-5.33772110645703,-0.860456304499621,-1.16350320645934,-3.31376159549807
1998.25,-3.81643893294106,-0.510536357385903,-1.30971029761765,-1.9961922779375
1998.5,-2.33674197364905,-0.639689060361014,-1.20753975915861,-0.489513154129427
1998.75,-2.93163934996993,-0.524725394077843,-1.48264921807308,-0.924264737819005
1999,-2.62790066057576,0.937448188677394,-1.5626380349211,-2.00271081433205
1999.25,0.646033131926781,0.98728303122279,-1.7342245957879,1.39297469649189
1999.5,-0.245128712016795,1.04527378071445,-1.62484846483262,0.334445972101371
1999.75,-0.850223597721166,1.89326918267469,-1.35358952290947,-1.38990325748638
2000,0.881883881102751,1.20689169486759,-1.67598372349095,1.35097590972611
2000.25,-0.370999640224195,1.34219419081887,-1.46907855515341,-0.244115275889658
2000.5,-1.15834190361096,1.11621919779478,-1.81720366417764,-0.45735743722809
2000.75,-1.78276141990599,1.04280946613116,-1.17479936512235,-1.6507715209148
2001,-2.24844708032643,1.22353217691029,-1.95366920488529,-1.51831005235143
2001.25,-1.57313943898993,-0.21937001811418,-1.74711199721093,0.393342576335183
2001.5,-4.24646076360597,-1.63253709020685,-1.54779698750641,-1.06612668589271
2001.75,-6.53380485769502,-0.621352015756719,-1.61736069554741,-4.29509214639089
2002,-3.99149795900254,0.876351843653984,-1.3111398549675,-3.55670994768902
2002.25,0.577527163795466,0.138538249124168,-1.65277494853996,2.09176386321125
2002.5,-2.28952187829869,1.00888400203305,-2.38237271863024,-0.916033161701498
2002.75,-2.37107639043669,2.69131150939377,-2.62669757262056,-2.4356903272099
2003,0.00579240928712194,-0.656437083462773,-2.3340545243378,2.9962840170877
2003.25,-7.77465495024455,1.41278148967374,-2.08170422434341,-7.10573221557487
2003.5,-0.330164760227946,0.683388719739941,-1.72341200122327,0.709858521255382
2003.75,-2.52180174589251,1.43769811219666,-1.64108018622264,-2.31841967186653
2004,1.03677560901918,1.0714553927592,-1.61435626086852,1.57967647712849
2004.25,0.0242758161421572,1.24393556530541,-2.40083992768953,1.18118017852628
2004.5,-1.91203255495267,2.12423189561426,-1.86203098853037,-2.17423346203657
2004.75,2.39330197243481,0.0873935347292838,-1.25112099305529,3.55702943076082
2005,-2.9448609563524,0.924885775041456,-1.46984550575962,-2.39990122563423
2005.25,-0.767514074544052,3.43016962244142,-2.18320277844699,-2.01448091853848
2005.5,4.3616167426656,1.21930192656862,-1.48036969344298,4.62268450953996
2005.75,-1.81697969479643,0.656348928907146,-1.63569831958305,-0.83763030412052
2006,-2.55656741478261,1.40636894654415,-1.35125018304968,-2.61168617827708
2006.25,0.830631753204161,1.18949682898496,-1.25941976659194,0.900554690811146
2006.5,0.0996251652996265,-2.1843580533197,-1.21390689871377,3.4978901173331
2006.75,-9.15614303678438,0.860743224613307,-0.644435942553464,-9.37245031884423
2007,0.569272306336371,1.74609286522262,-1.49038392254885,0.313563363662605
2007.25,2.10239958087187,0.641341378402123,-1.58868657232769,3.04974477479743
2007.5,-1.36408907067432,2.01947607526919,-1.67945970187719,-1.70410544406632
2007.75,2.66946801457202,1.96524329900778,-1.75371394298724,2.45793865855148
